"Day","Sales","Trading Profit","Operating Expense","Net Profit"
1,0,0,12600,-12600
2,0,0,279960,-279960
3,0,0,606835,-606835
4,60561,24823,668788,-643965
5,119272,48926,734261,-685335
6,179624,73650,795174,-721524
7,255864,105899,861784,-755885
8,333888,138840,926337,-787497
9,407641,174072,986252,-812180
10,859902,390159,1047328,-657169
11,1429755,647228,1109245,-462017
12,2136641,956614,1199213,-242599
13,2767974,1297158,1264080,33078
14,3500584,1628885,1328468,300417
15,3641793,1686860,1391122,295738
16,3838018,1763741,1463071,300670
17,4191267,2007653,1535804,471849
18,4412742,2091160,1634777,456383
19,5796630,2458670,1737634,721036
20,6164705,2700344,1811051,889293
21,6622026,3056514,1876755,1179759
22,6909915,3267954,1941160,1326794
23,7096932,3359813,2009247,1350566
24,9200881,4351943,2123701,2228242
25,9397167,4457152,2187011,2270141
26,9688653,4661132,2250184,2410948
27,10021387,4866466,2322748,2543718
28,11150189,5342917,2487786,2855131
29,11414569,5498924,2549763,2949161
30,11853831,5847777,2611742,3236035
31,12557843,6092279,2687013,3405266
32,12735293,6185041,2763841,3421200
33,12909561,6280421,2839050,3441371
34,13946971,6724518,2915580,3808938
35,14533891,6967340,2989790,3977550
36,14724904,7055705,3059680,3996025
37,15909730,7759023,3129261,4629762
38,17526376,8625770,3205482,5420288
39,19975550,9544564,3307652,6236912
40,20624980,9678154,3376830,6301324
41,20902267,9870358,3446763,6423595
42,21047576,9955918,3513082,6442836
43,21383353,10050326,3581652,6468674
44,22927786,10467323,3646345,6820978
45,23090234,10547632,3720438,6827194
46,23898330,10768942,3790481,6978461
47,24389550,11072084,3865441,7206643
48,24555333,11148663,3933196,7215467
49,24969685,11501930,4006205,7495725
50,25843955,11853878,4077013,7776865
51,26011644,11937104,4157031,7780073
52,26125001,12025245,4241436,7783809
53,26435640,12227418,4325684,7901734
54,26818135,12517014,4414724,8102290
55,27950373,13183361,4501366,8681995
56,28579533,13615153,4585165,9029988
57,29599402,14257951,4683246,9574705
58,30031811,14569538,4779347,9790191
59,30766013,15011974,4876549,10135425
60,31538320,15371979,4972745,10399234
61,32321223,15810514,5071220,10739294
62,32617281,15978289,5185355,10792934
63,32962872,16293635,5284941,11008694
64,33067973,16372759,5384210,10988549
65,33226453,16499517,5483238,11016279
66,33641754,16732973,5585569,11147404
67,33916662,16967988,5687456,11280532
68,34088771,17092578,5788991,11303587
69,35163198,17659164,5889995,11769169
70,35843260,17934192,5989703,11944489
71,36928300,18445013,6092713,12352300
72,38604169,19113865,6189828,12924037
73,41335946,20128895,6281555,13847340
74,43269500,20873944,6368101,14505843
75,44253283,21278774,6455077,14823697
76,45671196,21823937,6543977,15279960
77,45844968,21938195,6630516,15307679
78,49810762,23677806,6711372,16966434
79,51852014,24815617,6789711,18025906
80,52720368,25495325,6865901,18629424
81,53583316,25603334,6947569,18655765
82,54827275,25900226,7066547,18833679
83,58095952,25160518,7204487,17956031
84,58258160,25247802,7284427,17963375
85,58422481,25096588,7368707,17727881
86,58860631,25456173,7452987,18003186
87,62074496,24999945,7706375,17293570
88,62287787,25122668,7784186,17338482
89,62406766,25165079,7862253,17302826
90,63832551,25040760,8042499,16998261
